key,model,term,estimate,std_error,ci_low,ci_high,p_value,exponentiated,exponentiated_ci_low,exponentiated_ci_high,design_df,converged
M2_COEF_insurance_modelno_private,M2,insurance_modelno_private,0.0725311106770941,0.0932153399531747,-0.11101872342450335,0.25608094477869153,0.43731163645036797,1.0752262565866904,0.8949219927677972,1.2918572928103242,261,TRUE
M2_COEF_log1p.ERTOTY1.,M2,log1p(ERTOTY1),0.8120013331189595,0.08935347520581949,0.6360558765163438,0.9879467897215752,4.918048690905298e-17,2.2524113041947205,1.8890156560911575,2.6857144708700806,261,TRUE
M2_COEF_log1p.IPDISY1.,M2,log1p(IPDISY1),0.08402031624883143,0.13627819154305382,-0.18432435172060974,0.3523649842182726,0.5381536952736159,1.08765099057253,0.831666007774036,1.4224275926097765,261,TRUE
M2_COEF_log1p.OPTOTVY1.,M2,log1p(OPTOTVY1),0.05601980926734059,0.04935759126742126,-0.04116996328877053,0.1532095818234517,0.2575708548758091,1.057618634179373,0.9596660080949712,1.1655692354717089,261,TRUE
M2_COEF_log1p.OBTOTVY1.,M2,log1p(OBTOTVY1),0.12186228433938427,0.04478510255793212,0.0336761751768708,0.21004839350189775,0.00700744585026476,1.1295985276606009,1.0342496367895497,1.2337377634028968,261,TRUE
M2_COEF_physical_health_3good,M2,physical_health_3good,0.2816104133214155,0.11606767867808501,0.05306215960457164,0.5101586670382594,0.01602892152340399,1.3252623148575455,1.0544951900862487,1.6655554427307802,261,TRUE
M2_COEF_physical_health_3fair_poor,M2,physical_health_3fair_poor,0.7732914311810173,0.11390464569943941,0.5490023942903538,0.9975804680716808,9.592971263941829e-11,2.166886687556923,1.7315247769553412,2.7117128089657796,261,TRUE
M2_COEF_mental_health_3good,M2,mental_health_3good,-0.09063773587489163,0.10725788706318776,-0.30183867540292997,0.12056320365314674,0.3989677610576067,0.9133485243788232,0.7394573479263339,1.1281320407787454,261,TRUE
M2_COEF_mental_health_3fair_poor,M2,mental_health_3fair_poor,0.09197950013901106,0.14295141983023982,-0.1895053864430573,0.37346438672107946,0.5205877170851204,1.0963423469847402,0.827368260313432,1.4527588251169645,261,TRUE
M2_COEF_walk_limitationyes,M2,walk_limitationyes,0.12410656490557023,0.09370767496726708,-0.06041272347473778,0.3086258532858782,0.18669006356980566,1.1321365105914314,0.9413759254529285,1.361552854665851,261,TRUE
M2_COEF_cancer_y1yes,M2,cancer_y1yes,-0.032764748497999374,0.08683783786622641,-0.20375667688761875,0.13822717989162,0.7062929848011523,0.9677662012638919,0.8156608161716262,1.1482363768614285,261,TRUE
